Google,Unified,Name
1043288,128163,:bomb:
1043289,128164,:zzz:
1043290,128165,:boom:
1043291,128166,:sweat_drops:
1043292,128167,:droplet:
1043293,128168,:dash:
1043294,128170,:muscle:
1043295,128171,:dizzy:
1043296,10024,:sparkles:
1043297,10036,:eight_pointed_black_star:
1043298,10035,:eight_spoked_asterisk:
1043299,128308,:red_circle:
1043300,128306,:black_square_button:
1043300,128309,:large_blue_circle:
1043301,9898,:white_circle:
1043302,9899,:black_circle:
1043303,128307,:white_square_button:
1043304,11088,:star:
1043305,127775,:star2:
1043306,127776,:stars:
1043307,11036,:white_large_square:
1043308,11035,:black_large_square:
1043309,9643,:white_small_square:
1043310,9642,:black_small_square:
1043311,9725,:white_medium_small_square:
1043312,9726,:black_medium_small_square:
1043313,9723,:white_medium_square:
1043314,9724,:black_medium_square:
1043315,128310,:large_orange_diamond:
1043316,128311,:large_blue_diamond:
1043317,128312,:small_orange_diamond:
1043318,128313,:small_blue_diamond:
1043319,10055,:sparkle:
1043320,128314,:small_red_triangle:
1043321,128315,:small_red_triangle_down:
1043322,128174,:white_flower:
1043323,128175,:100:
1043324,128288,:capital_abcd:
1043325,128289,:abcd:
1043326,128290,:1234:
1043327,128291,:symbols:
1043328,128292,:abc:
1043329,127380,:id:
1043330,128273,:key:
1043331,8617,:leftwards_arrow_with_hook:
1043332,127377,:cl:
1043333,128269,:mag:
1043334,128274,:lock:
1043335,128275,:unlock:
1043336,8618,:arrow_right_hook:
1043338,128272,:closed_lock_with_key:
1043339,9745,:ballot_box_with_check:
1043340,128280,:radio_button:
1043341,128270,:mag_right:
1043342,128281,:back:
1043343,128278,:bookmark:
1043344,128271,:lock_with_ink_pen:
1043345,128259,:arrows_clockwise:
1043346,128231,:e-mail:
1043347,9994,:fist:
1043348,9996,:v:
1043349,9995,:hand:
1043350,128074,:facepunch:
1043351,128077,:+1:
1043352,9757,:point_up:
1043353,128070,:point_up_2:
1043354,128071,:point_down:
1043355,128072,:point_left:
1043356,128073,:point_right:
1043357,128075,:wave:
1043358,128079,:clap:
1043359,128076,:ok_hand:
1043360,128078,:-1:
1043361,128080,:open_hands:
